system:time_start,chlor_a_labrador,chlor_a_oligo,chlor_a_hatteras,sst_labrador,sst_oligo,sst_hatteras
1-Jan-16,,,,,,
2-Jan-16,0.963,,0.602,16.336,,26.542
3-Jan-16,,,,,,
4-Jan-16,,,,,,
5-Jan-16,,,,,,
6-Jan-16,,,,,,
7-Jan-16,,,,,,
8-Jan-16,,,,,,
9-Jan-16,0.628,,,14.182,,
10-Jan-16,4.424,,,,,
11-Jan-16,,,,15.933,,27.51
12-Jan-16,1.438,,1.151,14.368,24.004,22.606
13-Jan-16,1.44,,0.806,14.647,,25.895
14-Jan-16,1.422,0.277,0.405,15.114,24.391,24.423
15-Jan-16,,,,,,
16-Jan-16,1.756,,0.99,15.266,,22.403
17-Jan-16,,,,,,
18-Jan-16,,,,,,16.805
19-Jan-16,,,2.375,,,17.032
20-Jan-16,,,,,,
21-Jan-16,,,0.668,,,21.28
22-Jan-16,,,,,,
23-Jan-16,,,,,,
24-Jan-16,2.582,,2.376,11.799,,23.57
25-Jan-16,,0.165,,,23.656,
26-Jan-16,1.666,0.169,4.71,,20.075,
27-Jan-16,,,,,,
28-Jan-16,,,,,,
29-Jan-16,0.705,,0.777,12.309,,23.83
30-Jan-16,1.18,,0.699,12.217,,23.112
31-Jan-16,1.238,,0.662,,,23.595
1-Feb-16,1.584,,0.456,10.22,21.44,23.676
2-Feb-16,1.036,,1.078,,22.001,20.253
3-Feb-16,,,,,,
4-Feb-16,,,,,,
5-Feb-16,,,,,,
6-Feb-16,,,,,,
7-Feb-16,,,,,,
8-Feb-16,,,1.439,,,24.319
9-Feb-16,1.871,,1.36,10.743,21.043,23.98
10-Feb-16,1.682,,2.631,9.47,,
11-Feb-16,1.688,,1.381,10.375,,22.561
12-Feb-16,,,,,,
13-Feb-16,2.045,,,9.084,,
14-Feb-16,,,,,,
15-Feb-16,,,,,,
16-Feb-16,,,,,,
17-Feb-16,,,,,,
18-Feb-16,1.56,,1.92,10.995,,21.187
19-Feb-16,0.727,,2.302,6.33,,23.409
20-Feb-16,,,0.33,,,22.902
21-Feb-16,,,,,,
22-Feb-16,,,,,,
23-Feb-16,,,,,22.59,
24-Feb-16,,,,,,
25-Feb-16,0.745,,2.085,12.235,,19.262
26-Feb-16,1.069,,,9.442,,17.915
27-Feb-16,1.181,,1.31,13.55,,16.986
28-Feb-16,,,,9.687,24.253,22.595
29-Feb-16,2.836,0.345,1.031,,23.407,22.154
1-Mar-16,2.383,,,18.916,22.124,
2-Mar-16,1.651,0.27,0.75,16.917,22.927,20.301
3-Mar-16,1.977,,0.754,15.188,24.28,20.666
4-Mar-16,,,,,,
5-Mar-16,1.552,,2.115,11.571,22.9,19.054
6-Mar-16,1.312,,1.826,9.355,,23.244
7-Mar-16,1.48,0.229,0.758,17.596,23.393,23.321
8-Mar-16,1.736,,0.942,10.835,24.056,25.404
9-Mar-16,1.51,0.249,0.721,,22.448,24.387
10-Mar-16,,0.227,1.391,,22.57,24.183
11-Mar-16,,0.219,,,22.896,
12-Mar-16,,,,,,
13-Mar-16,1.205,,,,,
14-Mar-16,,,0.464,,24.148,22.954
15-Mar-16,,,,,23.47,22.235
16-Mar-16,1.322,0.174,0.423,,24.346,23.437
17-Mar-16,,,,,,
18-Mar-16,1.598,0.177,0.194,,23.304,22.705
19-Mar-16,,,,,,
20-Mar-16,,,,,23.315,
21-Mar-16,1.425,,0.244,10.563,,22.821
22-Mar-16,1.071,0.188,0.473,11.218,24.789,24.644
23-Mar-16,3.235,0.16,1.212,8.618,23.155,23.679
24-Mar-16,,,,,,
25-Mar-16,,,,12.318,,21.025
26-Mar-16,,,,,,
27-Mar-16,,,,,,
28-Mar-16,1.471,0.17,0.65,21.52,21.697,22.007
29-Mar-16,1.359,0.141,0.633,12.543,22.504,22.381
30-Mar-16,1.082,,1.722,,20.987,
31-Mar-16,,,,,,
1-Apr-16,,,,12.613,,
2-Apr-16,,,,,21.86,
3-Apr-16,2.768,,2.257,13.145,22.089,22.402
4-Apr-16,1.663,0.16,1.249,,22.138,19.858
5-Apr-16,,,,,,
