wavelength (nm),absorption (m^-1),scattering (m^-1)
200,3.07,0.151
201,2.962,0.1478
202,2.854,0.1446
203,2.746,0.1414
204,2.638,0.1382
205,2.53,0.135
206,2.422,0.1318
207,2.314,0.1286
208,2.206,0.1254
209,2.098,0.1222
210,1.99,0.119
211,1.922,0.11705
212,1.854,0.1151
213,1.786,0.11315
214,1.718,0.1112
215,1.65,0.10925
216,1.582,0.1073
217,1.514,0.10535
218,1.446,0.1034
219,1.378,0.10145
220,1.31,0.0995
221,1.2717,0.09775
222,1.2334,0.096
223,1.1951,0.09425
224,1.1568,0.0925
225,1.1185,0.09075
226,1.0802,0.089
227,1.0419,0.08725
228,1.0036,0.0855
229,0.9653,0.08375
230,0.927,0.082
231,0.9063,0.08065
232,0.8856,0.0793
233,0.8649,0.07795
234,0.8442,0.0766
235,0.8235,0.07525
236,0.8028,0.0739
237,0.7821,0.07255
238,0.7614,0.0712
239,0.7407,0.06985
240,0.72,0.0685
241,0.7039,0.0674
242,0.6878,0.0663
243,0.6717,0.0652
244,0.6556,0.0641
245,0.6395,0.063
246,0.6234,0.0619
247,0.6073,0.0608
248,0.5912,0.0597
249,0.5751,0.0586
250,0.559,0.0575
251,0.5488,0.0566
252,0.5386,0.0557
253,0.5284,0.0548
254,0.5182,0.0539
255,0.508,0.053
256,0.4978,0.0521
257,0.4876,0.0512
258,0.4774,0.0503
259,0.4672,0.0494
260,0.457,0.0485
261,0.4486,0.0478
262,0.4402,0.0471
263,0.4318,0.0464
264,0.4234,0.0457
265,0.415,0.045
266,0.4066,0.0443
267,0.3982,0.0436
268,0.3898,0.0429
269,0.3814,0.0422
270,0.373,0.0415
271,0.3645,0.04088
272,0.356,0.04026
273,0.3475,0.03964
274,0.339,0.03902
275,0.3305,0.0384
276,0.322,0.03778
277,0.3135,0.03716
278,0.305,0.03654
279,0.2965,0.03592
280,0.288,0.0353
281,0.2807,0.03482
282,0.2734,0.03434
283,0.2661,0.03386
284,0.2588,0.03338
285,0.2515,0.0329
286,0.2442,0.03242
287,0.2369,0.03194
288,0.2296,0.03146
289,0.2223,0.03098
290,0.215,0.0305
291,0.2076,0.03007
292,0.2002,0.02964
293,0.1928,0.02921
294,0.1854,0.02878
295,0.178,0.02835
296,0.1706,0.02792
297,0.1632,0.02749
298,0.1558,0.02706
299,0.1484,0.02663
300,0.141,0.0262
301,0.1374,0.02587
302,0.1338,0.02554
303,0.1302,0.02521
304,0.1266,0.02488
305,0.123,0.02455
306,0.1194,0.02422
307,0.1158,0.02389
308,0.1122,0.02356
309,0.1086,0.02323
310,0.105,0.0229
311,0.10294,0.02261
312,0.10088,0.02232
313,0.09882,0.02203
314,0.09676,0.02174
315,0.0947,0.02145
316,0.09264,0.02116
317,0.09058,0.02087
318,0.08852,0.02058
319,0.08646,0.02029
320,0.0844,0.02
321,0.08274,0.01975
322,0.08108,0.0195
323,0.07942,0.01925
324,0.07776,0.019
325,0.0761,0.01875
326,0.07444,0.0185
327,0.07278,0.01825
328,0.07112,0.018
329,0.06946,0.01775
330,0.0678,0.0175
331,0.06663,0.01728
332,0.06546,0.01706
333,0.06429,0.01684
334,0.06312,0.01662
335,0.06195,0.0164
336,0.06078,0.01618
337,0.05961,0.01596
338,0.05844,0.01574
339,0.05727,0.01552
340,0.0561,0.0153
341,0.05512,0.01511
342,0.05414,0.01492
343,0.05316,0.01473
344,0.05218,0.01454
345,0.0512,0.01435
346,0.05022,0.01416
347,0.04924,0.01397
348,0.04826,0.01378
349,0.04728,0.01359
350,0.0463,0.0134
351,0.04546,0.01326
352,0.04462,0.01312
353,0.04378,0.01298
354,0.04294,0.01284
355,0.0421,0.0127
356,0.04126,0.01256
357,0.04042,0.01242
358,0.03958,0.01228
359,0.03874,0.01214
360,0.0379,0.012
361,0.03711,0.01186
362,0.03632,0.01172
363,0.03553,0.01158
364,0.03474,0.01144
365,0.03395,0.0113
366,0.03316,0.01116
367,0.03237,0.01102
368,0.03158,0.01088
369,0.03079,0.01074
370,0.03,0.0106
371,0.028137,0.010481
372,0.026274,0.010362
